id,user_id,created_at,max_rent_usd,climate_preference,sea_preference,safety_important,internet_important,ecology_important,infrastructure_important,best_city,best_score
1,1,2026-05-12 22:13:17,1000.0,умеренный,нет,да,да,да,да,Москва,87.4
2,1,2026-05-12 22:16:11,500.0,умеренный,да,да,да,да,да,Калининград,86.6
3,1,2026-05-12 23:04:45,500.0,теплый,да,да,да,да,да,Севастополь,85.1
4,1,2026-05-13 09:01:59,600.0,холодный,неважно,да,да,да,да,Тюмень,88.1
5,1,2026-05-13 12:17:14,500.0,теплый,нет,да,нет,да,да,Севастополь,87.6
6,1,2026-05-13 12:18:53,500.0,теплый,да,нет,нет,да,да,Севастополь,93.4
7,1,2026-05-13 12:19:58,300.0,холодный,нет,да,нет,нет,нет,Тобольск,94.1
8,1,2026-05-13 15:25:21,1000.0,умеренный,да,нет,нет,да,да,Калининград,93.8
9,1,2026-05-13 15:26:53,450.0,умеренный,нет,да,да,нет,да,Белгород,90.1
